Month,bed_count,icu_count,oxygen_count
9,5549,784,470
12,5854,371,395
12,7532,314,385
6,6786,914,300
12,5819,170,460
9,5729,237,399
12,5487,953,446
4,7852,431,337
11,7466,171,371
6,5354,863,360
6,6332,715,427
8,6006,650,454
4,7103,575,441
11,6267,337,313
4,6641,135,325
1,5125,389,375
2,6738,901,457
8,7791,105,312
11,5294,804,435
1,7078,813,452
7,7649,394,302
7,7611,361,302
8,5635,455,344
4,6551,755,329
9,7404,550,490
5,6976,195,333
5,6610,188,404
2,5030,312,415
5,6667,167,324
7,6208,142,469
11,5023,250,434
11,6918,505,459
1,7323,981,356
4,6221,797,382
4,6177,309,342
1,6826,893,376
11,7353,527,474
4,7027,737,469
7,6237,200,311
9,5034,734,390
9,6238,134,458
5,7907,765,363
11,6796,606,386
11,6519,895,313
9,5643,937,372
3,7965,137,451
1,7399,262,430
3,7445,886,485
4,7243,897,375
7,5864,894,338
11,6814,436,327
12,5707,635,451
5,6655,459,495
9,6025,471,341
11,7278,304,391
7,7184,861,448
5,7245,485,473
11,6917,118,351
5,5199,235,494
7,7314,280,353
5,7496,179,366
1,7124,386,468
10,6434,805,487
7,6985,121,430
12,7412,829,398
5,6227,946,373
8,5264,985,303
7,7441,369,378
7,5627,733,371
2,6145,499,384
7,6746,785,308
1,5877,705,348
2,6799,728,320
1,7993,202,373
11,6436,625,384
4,5421,394,464
8,6517,175,415
4,5743,249,356
7,5357,117,307
12,7955,385,345
10,5276,403,384
3,5603,759,468
11,7954,466,481
3,6769,512,468
4,7763,428,415
3,7709,758,500
5,6571,340,312
11,5836,424,436
2,5440,844,318
4,6991,446,456
7,5942,985,343
6,5931,417,499
9,6698,147,318
10,7206,411,411
7,6976,495,364
3,7429,137,339
7,6594,873,438
6,6867,550,311
8,7288,960,342
7,6978,668,458
5,5304,412,309
12,7981,635,332
11,7291,745,316
7,6615,551,460
11,6048,982,322
9,5021,767,372
7,5976,446,434
4,7693,105,414
11,7701,175,356
1,7144,628,397
11,6919,901,355
9,6639,299,312
1,5175,676,450
9,6662,422,316
2,7994,447,350
12,7910,378,351
5,5598,620,480
11,6472,776,493
7,7626,200,477
9,7441,524,337
2,6308,671,425
6,5131,178,380
11,6051,348,322
2,5454,374,408
4,6209,1000,352
11,6489,235,419
4,7568,402,401
10,7092,229,497
8,6771,326,444
4,7387,974,381
7,7448,530,455
11,5492,868,427
4,7949,131,356
8,5735,462,372
6,5550,791,409
9,5906,861,392
10,5106,724,306
4,5006,942,452
9,7004,323,441
9,5893,801,423
3,6224,226,481
1,7293,410,467
6,5750,536,428
10,5844,354,347
1,6486,299,430
12,7595,870,421
5,5860,465,470
6,5022,165,318
5,5688,105,470
7,7928,878,384
1,5742,838,417
5,7133,586,362
7,5807,322,302
7,7843,733,323
10,5645,597,406
5,6741,267,424
2,7707,293,434
2,7541,466,335
8,6509,267,366
8,6382,973,317
6,5169,369,307
9,5658,659,401
12,7995,442,462
5,6238,848,350
9,7948,468,334
12,6579,658,335
2,5244,906,417
9,5018,560,304
12,5751,118,346
6,7798,725,418
4,5949,497,497
9,7078,269,468
1,7353,585,454
11,6725,544,428
4,7873,126,407
5,5144,709,328
12,6697,212,346
10,5410,245,393
1,5121,552,344
10,5391,424,336
11,7352,454,413
3,7282,614,342
2,5518,695,486
11,6804,203,471
2,7190,696,331
5,5977,947,340
3,7174,813,321
1,6939,975,478
8,6737,491,474
8,6619,902,369
7,7146,847,482
8,5442,680,396
10,7806,456,375
1,6514,471,377
8,6899,870,331
11,7571,557,402
9,7730,990,359
8,7470,951,325
8,7094,429,353
11,5221,144,483
3,5621,365,309
4,6327,578,351
12,7535,193,309
4,7407,484,423
2,5179,993,461
8,5144,622,333
8,5339,579,480
2,7344,290,356
12,5698,298,410
2,6709,436,406
7,7523,615,328
3,7964,967,314
4,7272,101,399
2,6219,527,371
3,6576,852,404
5,6544,976,499
1,5154,482,344
7,5551,832,424
5,5018,790,395
12,6064,759,377
12,6740,694,428
12,6164,418,372
7,6230,846,461
5,5783,500,320
1,7295,830,316
6,7544,332,387
7,5798,669,439
12,6906,674,422
1,5100,796,320
5,7388,853,412
4,7670,435,304
8,6504,681,395
9,6645,786,401
9,7044,631,375
9,6471,205,316
12,6172,715,470
8,7489,737,343
2,7335,746,387
8,7346,595,429
11,5084,597,306
11,6253,482,315
8,7812,625,434
7,7295,812,476
3,7829,453,432
12,7346,811,389
2,7050,723,352
2,5532,235,444
12,7507,238,461
9,6660,628,312
10,5667,963,484
2,6028,623,353
5,7573,671,390
4,7068,176,467
11,6994,328,462
8,7531,258,490
12,7247,660,421
3,6755,188,300
12,7475,983,338
7,7556,615,334
12,7046,969,399
12,7352,917,306
11,7254,459,398
12,7374,760,460
10,5670,160,375
12,6669,763,328
12,5259,539,444
9,5711,381,433
12,6211,521,361
9,5437,786,325
6,5906,515,304
5,6022,594,455
10,6151,911,322
8,6470,598,483
10,6458,412,362
9,6154,958,330
7,5724,414,354
9,5599,509,415
7,7733,388,383
12,5164,898,336
1,5570,685,357
1,7318,419,469
8,7277,691,454
11,7237,659,447
3,7606,235,328
1,5569,465,460
2,6500,148,318
5,7906,342,381
8,6932,840,358
8,6038,331,483
8,5648,702,342
11,5660,189,425
7,5781,870,310
2,7664,659,305
4,7641,807,445
5,7857,761,308
3,5276,456,304
5,7609,443,303
6,7725,277,470
2,7845,233,418
7,5020,520,334
12,5298,648,464
2,5035,738,378
1,6645,827,323
9,7256,756,396
6,6366,485,364
6,7929,930,440
10,6494,473,352
6,5659,198,480
3,6431,485,306
5,7084,241,360
10,7545,329,492
7,7195,239,363
7,5161,911,355
4,5685,776,450
10,7910,215,334
6,7435,114,487
1,6102,824,401
2,7862,915,473
7,5230,606,392
1,5935,296,391
6,7879,857,353
8,7065,738,346
9,7104,517,461
6,5155,603,463
6,6385,962,432
8,6287,319,391
9,7175,908,347
2,6943,227,478
5,5661,194,422
3,6525,964,365
10,7915,501,433
7,6495,156,408
2,5444,843,310
3,6303,834,359
10,5713,689,336
6,6131,535,329
4,7101,530,406
8,7248,542,338
11,6427,934,331
7,5013,326,449
8,6392,201,359
9,7989,482,480
6,6261,665,441
7,7945,335,300
12,6532,367,320
5,7066,961,448
1,7085,647,450
10,6819,198,366
10,6919,797,376
9,5707,882,474
1,6034,919,489
2,6306,533,335
7,7628,216,471
12,6938,220,353
8,6930,869,394
5,6738,652,342
10,7610,516,324
7,6422,774,355
4,5864,431,417
4,5880,555,310
9,5467,315,353
4,6966,602,448
4,5579,377,312
9,5880,338,449
12,7375,281,492
1,7867,687,307
9,6278,108,371
3,5102,137,364
6,6264,246,346
10,6949,790,400
3,6660,171,402
6,5714,227,385
2,6316,941,461
12,6676,879,314
4,6604,148,355
9,6828,244,456
8,6519,974,399
6,5056,763,333
8,6631,138,351
3,6642,549,361
4,7152,368,366
4,7641,515,308
5,7718,328,346
3,7130,690,428
7,7253,370,360
8,6476,326,363
8,6216,523,364
5,7382,460,438
1,7086,240,464
3,5153,361,313
6,6988,275,365
7,7505,258,316
8,6323,599,390
7,6972,723,336
2,5101,832,467
7,7598,924,408
11,6857,238,463
12,6113,342,350
6,6153,483,362
2,6700,788,447
8,5853,972,353
12,7440,357,412
6,7099,416,390
11,7513,904,305
8,6684,767,440
6,7881,301,468
5,6155,316,381
12,5175,235,342
4,7965,827,320
2,6352,807,357
4,7993,534,317
11,6974,885,390
1,6148,219,422
4,7443,405,426
3,6921,391,300
4,7441,390,415
4,5063,837,435
11,5932,390,423
12,5652,896,393
3,7897,167,307
8,6417,694,459
8,6758,476,469
5,6425,593,483
7,5534,985,311
3,5291,319,322
5,6010,769,480
9,7327,141,305
3,6107,607,491
1,6725,924,427
3,7917,870,341
4,7324,762,346
1,6965,944,362
12,5494,622,372
11,7422,945,462
5,7370,524,308
11,6273,685,331
7,7941,972,458
3,6666,301,392
4,5517,494,396
10,6999,393,466
2,6057,745,459
4,5813,849,407
8,6180,546,361
1,7182,577,486
12,6852,781,379
10,5305,108,451
9,5712,753,498
5,7620,758,443
11,6950,571,398
9,7076,560,365
8,6152,790,358
8,6326,654,362
2,5036,416,480
5,5266,444,446
7,7082,393,320
1,5773,768,378
12,6406,402,368
12,7557,100,347
2,6162,732,402
8,7654,903,302
4,6488,765,479
12,7323,631,312
12,7240,154,319
10,7984,248,412
11,6800,806,426
4,5554,163,490
10,6265,508,407
6,6261,294,395
7,6455,614,475
5,6381,310,494
7,6733,232,459
4,6209,146,478
4,7667,417,417
12,7046,995,440
7,6783,259,478
12,6021,237,487
6,7776,469,408
3,6663,790,318
3,5321,399,472
1,5793,153,332
9,5006,555,309
12,5549,642,314
12,5670,565,483
7,6055,591,405
6,6753,102,426
3,5513,899,428
11,7837,269,469
2,5934,517,458
10,6499,526,449
4,7928,152,457
11,5115,376,448
1,6863,899,302
10,6262,521,495
2,5363,764,472
2,7392,114,451
11,7783,150,332
10,6993,502,397
10,7626,718,318
4,7608,940,335
8,5353,259,400
7,5273,670,397
5,5834,789,388
11,5993,777,329
12,5343,980,399
8,5693,901,486
2,5812,516,474
8,7165,453,307
9,5714,721,352
4,5774,727,379
8,7137,525,444
2,5759,238,342
10,6216,259,496
11,6929,311,322
3,6094,993,399
9,5659,391,491
11,6266,682,419
12,5041,240,341
2,5772,915,355
6,5157,287,374
5,7489,698,324
12,6207,661,353
4,7035,152,498
3,5833,799,307
6,7840,605,438
1,7660,692,398
12,7325,690,457
7,7586,968,433
6,5179,812,312
7,7156,490,384
5,5784,480,435
7,7471,698,317
4,6997,807,322
9,7478,132,332
9,6243,728,466
8,6360,794,454
1,5941,424,442
9,7048,262,477
7,5838,395,341
6,6502,257,352
5,7646,832,405
5,6885,820,491
7,6088,864,300
11,6041,677,330
4,5720,113,360
5,7710,857,463
11,7022,204,416
4,7473,497,341
3,6934,520,387
1,6373,342,364
11,7535,446,365
2,5234,985,366
11,7496,145,315
2,7179,556,398
9,7629,951,301
2,6181,260,445
9,7277,537,486
1,5176,678,477
5,6848,657,459
6,7681,268,343
9,7040,167,423
9,5408,816,351
2,5968,481,302
12,6792,923,347
4,7226,218,323
3,6234,574,489
1,7447,524,464
12,7671,304,417
5,7716,178,445
8,6574,429,484
11,7351,638,471
6,7134,236,340
1,6304,448,435
6,6360,620,418
9,7598,128,416
3,5509,159,339
9,6539,571,343
8,7472,538,349
8,5539,659,404
10,5489,833,486
12,5323,948,353
7,5562,102,491
10,5649,395,447
8,6821,596,409
4,6599,291,380
12,7850,545,348
4,6112,755,324
11,5990,685,440
11,6595,559,387
10,6353,886,421
9,6223,509,454
4,7528,782,428
7,7981,158,389
11,5136,324,394
5,7344,548,353
3,6391,872,392
2,7306,105,409
3,7145,708,367
6,7638,713,481
6,5334,927,486
4,7239,106,382
11,7863,659,471
3,6057,372,325
7,7582,159,406
3,5917,102,345
3,6185,702,451
5,6575,420,311
2,5274,319,319
11,7825,476,352
12,5797,192,476
3,7249,934,356
8,7130,520,393
5,7064,654,402
1,5229,210,430
11,6720,616,322
10,7842,919,473
9,7557,679,482
1,6617,521,315
6,6132,763,311
6,6950,496,325
11,5893,533,484
11,5282,953,368
1,6144,302,345
2,7550,124,354
2,5494,706,474
7,7860,355,348
7,6889,963,411
3,6123,445,317
12,6054,997,378
4,5248,662,407
4,6608,262,426
1,7111,868,413
5,6918,337,314
12,6765,288,500
7,7001,315,307
12,7004,305,472
9,5995,499,423
8,5202,952,477
7,7846,712,466
11,7454,355,370
3,6086,523,335
12,7180,951,408
3,6554,703,305
3,6618,352,377
2,5882,921,331
8,7473,543,353
11,7481,610,350
6,5848,542,371
8,5281,510,490
10,6882,618,354
11,5796,954,403
4,6245,972,437
11,5164,998,409
6,7773,969,443
2,7038,305,433
2,6865,613,398
7,5870,740,336
5,7174,157,489
12,6669,409,343
4,6167,333,403
5,7910,491,441
11,5154,233,451
1,7264,843,322
4,7487,154,322
3,5509,698,393
4,7583,622,428
9,6543,919,364
11,7333,226,492
11,5338,725,400
7,5668,623,350
7,7719,183,499
9,5393,527,332
11,7905,605,302
8,5859,760,462
4,7450,428,451
5,6525,212,479
8,5335,954,372
1,6816,169,322
1,5708,247,390
4,7325,930,462
8,5618,539,491
1,6867,337,453
2,5932,975,390
8,5404,952,306
10,5601,543,330
6,6107,965,319
2,6412,629,403
8,5407,740,445
3,7465,739,356
10,7024,508,448
5,6249,308,418
6,6142,523,384
5,6091,776,478
9,5646,296,401
9,5438,987,339
3,5039,955,378
4,7699,565,451
7,6500,930,476
11,7467,528,324
9,6411,754,365
2,6380,268,419
11,6413,878,441
4,7141,385,318
11,5003,793,498
12,5452,396,432
1,7725,856,388
9,5013,609,353
10,7185,221,307
5,7056,972,391
10,5078,573,323
12,7578,876,407
8,5495,954,323
6,6798,483,393
11,6955,624,436
5,5122,890,359
3,5415,905,431
10,7508,928,432
3,6149,494,455
2,5947,528,497
4,5193,832,393
12,5095,345,347
2,7865,196,304
8,7430,859,402
5,5341,309,335
11,6341,561,459
2,5594,965,470
11,7448,216,473
1,5242,619,329
8,5975,780,381
4,7956,397,482
1,6365,836,325
7,6014,415,401
11,7958,147,376
9,5085,643,327
3,6174,308,349
6,5908,708,412
5,5858,682,455
6,7358,586,335
9,7747,460,398
3,6039,407,450
3,7792,670,317
11,5114,584,316
6,7753,481,485
3,5120,673,337
12,5415,118,433
1,5719,525,382
10,6422,338,429
9,5228,125,312
12,7085,178,330
11,6679,350,418
3,7576,327,479
12,5775,130,465
9,7575,493,361
1,5967,246,425
1,5782,303,329
7,6122,889,339
6,5306,953,450
12,7391,125,364
4,5367,652,469
9,7870,218,387
3,5651,696,394
10,7470,758,445
11,6677,383,343
12,7281,412,331
11,6628,151,405
2,7709,658,474
1,6039,924,320
7,6500,861,354
9,6017,861,479
12,7346,795,480
6,7523,908,324
1,7945,801,318
1,6264,269,460
11,6986,700,352
5,6921,860,419
9,5564,435,336
4,6367,202,393
7,5426,452,432
7,5879,454,404
9,5661,385,367
6,7171,441,459
11,5130,717,373
10,6099,648,309
9,5175,504,419
12,7529,577,412
3,7302,503,332
1,5134,319,303
3,6830,605,468
8,5501,928,375
6,6408,945,495
1,6478,739,449
12,5500,250,355
11,5079,258,325
4,5762,914,324
12,5561,974,335
6,7642,217,386
3,6249,538,490
10,6917,420,497
2,6650,413,329
11,7685,256,312
2,5184,324,415
9,7722,779,380
11,7548,321,352
10,7678,174,348
12,7654,589,424
11,7211,201,447
6,5778,656,311
1,5389,815,347
11,6323,702,431
1,5643,508,354
10,7687,986,485
12,5725,201,306
6,6045,541,371
11,5279,848,409
6,7595,234,460
8,5756,635,379
4,5877,951,421
8,7213,328,378
1,5532,996,498
7,5613,689,387
12,5130,445,482
4,5215,738,301
10,6994,318,386
1,5900,158,411
10,5499,913,420
4,7988,331,328
12,6389,503,491
8,7067,409,390
4,5535,607,315
4,7850,119,460
3,7940,844,440
9,7656,352,337
2,7340,207,406
5,6718,233,432
11,7511,406,458
9,7356,637,420
9,6489,384,404
